Date, Time, Type, Category, Item, Amount, Currency, Bank, Card No., Account No., Payment Method, Tags, Merchant, Sender, Recipient, Remarks, Serial Number, Warranty
"31/12/2022","5:54:18 pm","Expense","Health","",16,"SGD","OCBC","","","PayLah","","Watsons","","","Magnam beatae ad autem tempora eum commodi consequuntur suscipit.","",""
"05/12/2022","12:37:30 am","Expense","Shopping","Product Name",14,"SGD","DBS","","","Google Pay","","Qoo10","","","Dicta alias incidunt optio porro porro beatae quo excepturi.","d5szceg7lwkh","365"
"30/11/2022","4:02:10 pm","Expense","Shopping","Product Name",40,"SGD","DBS","","","PayLah","","Amazon","","","Sequi nihil officia dolorem beatae exercitationem odio.","ejz3vilkwjtb","30"
"28/12/2022","4:24:45 pm","Expense","Games","",18,"SGD","OCBC","","","Google Pay","","Origin","","","Eveniet dolorum quia velit quisquam reiciendis atque dignissimos.","",""
"07/11/2022","2:09:59 am","Expense","Games","",42,"SGD","OCBC","","","PayPal","","Origin","","","Assumenda nobis rerum asperiores ipsa fugit adipisci exercitationem quo doloribus.","",""
"12/12/2022","9:33:13 am","Expense","Food","",26,"SGD","DBS","","","Apple Pay","","NTUC","","","Quis illo temporibus.","",""
"02/11/2022","10:40:43 am","Expense","Tech","Product Name",608,"SGD","DBS","","","PayLah","","Microsoft","","","Error sit cum ratione.","","90"
"17/11/2022","11:23:50 pm","Expense","Tech","Product Name",988,"SGD","OCBC","","","Google Pay","","Microsoft","","","In maxime mollitia similique accusantium.","",""
"16/11/2022","9:29:10 am","Expense","Transport","",2,"SGD","OCBC","","","PayPal","","Uber","","","Culpa adipisci quaerat assumenda.","",""
"09/12/2022","2:55:41 pm","Expense","Transfer","",48,"SGD","DBS","","","Cash","","","","Paul","Odit excepturi dicta odit repudiandae.","",""
"16/12/2022","10:16:27 am","Expense","Food","",48,"SGD","OCBC","","","Apple Pay","","NTUC","","","Consequatur nihil porro culpa fugiat nam sint.","",""
"25/12/2022","9:00:59 pm","Expense","Health","",48,"SGD","OCBC","6940","123-456-7890","Debit Card","","Guardian","","","Architecto quod voluptatum quam velit vel.","",""
"11/12/2022","11:04:04 pm","Income","Transfer","",44,"SGD","DBS","","","Cash","","","Wai Hang","","Nihil debitis recusandae soluta consequatur quod.","",""
"05/12/2022","5:31:35 am","Income","Investment","",386,"USD","OCBC","","","PayPal","","","FTX","","Sunt doloremque facilis harum officiis.","",""
"16/11/2022","9:56:06 pm","Income","Investment","",322,"USD","OCBC","","","PayPal","","","FTX","","Delectus minus ducimus ex rem nisi.","",""
"30/11/2022","11:37:58 pm","Income","Transfer","",26,"SGD","DBS","","","PayNow","","","Ethan","","Esse dolores modi qui cumque quis quisquam sunt veniam.","",""
"15/12/2022","11:22:04 am","Income","Transfer","",44,"SGD","DBS","","","Cash","","","Addison","","Sit corrupti repudiandae eos incidunt.","",""
"13/12/2022","3:55:18 am","Income","Transfer","",16,"SGD","DBS","","","PayNow","","","Wai Hang","","Odit laborum cum.","",""
"09/11/2022","2:19:55 am","Income","Investment","",500,"USD","DBS","","","PayPal","","","FTX","","Nostrum quos nam exercitationem quibusdam incidunt nulla vel occaecati.","",""
"14/12/2022","4:24:54 am","Income","Transfer","",12,"SGD","OCBC","","","PayPal","","","Ethan","","Ducimus in eum voluptates.","",""
"20/11/2022","2:11:09 am","Income","Transfer","",46,"SGD","OCBC","","","PayLah","","","Ethan","","Expedita aspernatur suscipit repellendus et deserunt enim quo voluptatum.","",""
"13/12/2022","1:49:59 pm","Income","Transfer","",34,"SGD","DBS","","","PayLah","","","Addison","","Perferendis exercitationem accusantium illo voluptatibus recusandae iusto sequi.","",""
"04/12/2022","6:04:37 am","Income","Investment","",116,"USD","OCBC","","","PayPal","","","FTX","","Reprehenderit ipsa iusto.","",""
"20/11/2022","10:29:47 am","Income","Transfer","",20,"SGD","OCBC","","","Google Pay","","","Wai Hang","","Inventore facilis aspernatur eaque quibusdam.","",""
"05/11/2022","12:55:23 am","Income","Transfer","",24,"SGD","OCBC","","","Cash","","","Wai Hang","","Doloremque odio nobis cumque nihil ipsa cumque.","",""
"29/11/2022","9:08:08 pm","Income","Transfer","",40,"SGD","DBS","","","PayLah","","","Wai Hang","","Necessitatibus accusantium repellendus sed voluptas.","",""
"03/11/2022","5:59:23 am","Income","Transfer","",10,"SGD","OCBC","","","Cash","","","Addison","","Excepturi dolor libero sequi.","",""
"07/11/2022","5:15:56 am","Income","Investment","",350,"USD","DBS","","","PayPal","","","FTX","","Officia eos nostrum a dolorem debitis dignissimos beatae.","",""
"05/12/2022","12:57:14 pm","Income","Transfer","",34,"SGD","OCBC","","","PayNow","","","Ethan","","Praesentium assumenda quaerat excepturi blanditiis.","",""
"07/11/2022","1:53:34 am","Income","Transfer","",48,"SGD","OCBC","","","Google Pay","","","Qin Guan","","Tempora sint error eveniet culpa nisi possimus.","",""
"30/12/2022","1:34:00 am","Income","Transfer","",14,"SGD","OCBC","","","Google Pay","","","Wai Hang","","A quo magnam unde assumenda accusamus eveniet.","",""
"20/12/2022","8:23:36 pm","Income","Investment","",214,"USD","DBS","","","PayPal","","","FTX","","Nam accusantium quasi.","",""
"22/11/2022","6:54:52 pm","Income","Transfer","",40,"SGD","DBS","","","PayNow","","","Wai Hang","","Repellendus ipsa amet.","",""
"20/12/2022","4:39:58 pm","Income","Transfer","",16,"SGD","DBS","","","PayNow","","","Addison","","Repellendus perferendis odit numquam beatae aperiam earum esse.","",""
"02/12/2022","4:26:04 pm","Income","Transfer","",42,"SGD","OCBC","","","Google Pay","","","Wai Hang","","Iste illo commodi similique cumque perferendis eaque provident.","",""
"29/11/2022","3:52:22 am","Income","Transfer","",40,"SGD","OCBC","","","PayLah","","","Wai Hang","","Tenetur officia animi temporibus eveniet.","",""
"05/12/2022","1:37:46 am","Income","Transfer","",42,"SGD","DBS","","","PayNow","","","Ethan","","Vel recusandae a dolores pariatur officia.","",""
"29/11/2022","12:57:07 am","Income","Transfer","",14,"SGD","DBS","","","PayNow","","","Ethan","","Harum atque rem ex.","",""
"21/11/2022","7:16:57 am","Income","Transfer","",44,"SGD","OCBC","","","Cash","","","Qin Guan","","Perferendis maxime dolore ratione alias dolorum.","",""
"02/12/2022","9:17:03 pm","Income","Investment","",296,"USD","OCBC","","","PayPal","","","FTX","","Modi non reiciendis deserunt quas consectetur.","",""
"23/11/2022","8:37:36 pm","Income","Transfer","",42,"SGD","DBS","","","Google Pay","","","Addison","","Animi ab at vel autem similique in.","",""
"16/12/2022","12:30:18 pm","Income","Investment","",150,"USD","OCBC","","","PayPal","","","FTX","","Ipsa deserunt incidunt ipsa fugit.","",""
"02/11/2022","10:48:09 pm","Income","Transfer","",42,"SGD","DBS","","","PayNow","","","Wai Hang","","Tenetur laudantium earum consequuntur maiores itaque animi quaerat doloribus.","",""
"14/11/2022","8:34:23 am","Income","Transfer","",44,"SGD","OCBC","","","Apple Pay","","","Qin Guan","","Dolore vel blanditiis sit voluptas nam unde vel nisi.","",""
"23/11/2022","11:20:26 pm","Income","Investment","",148,"USD","OCBC","","","PayPal","","","FTX","","Minima laboriosam non odio voluptatum esse maxime voluptatem.","",""
"23/12/2022","2:38:46 am","Income","Transfer","",28,"SGD","DBS","","","PayPal","","","Paul","","Perspiciatis temporibus dicta magnam excepturi corrupti.","",""
"04/11/2022","11:45:48 pm","Income","Transfer","",14,"SGD","OCBC","","","Cash","","","Addison","","Accusantium distinctio dolore aut.","",""
"06/11/2022","3:21:14 pm","Income","Transfer","",38,"SGD","OCBC","","","Cash","","","Ethan","","Aspernatur ipsam ipsum ducimus repudiandae quidem tempore ex modi.","",""
"27/11/2022","5:24:56 pm","Income","Transfer","",50,"SGD","DBS","","","Apple Pay","","","Wai Hang","","Numquam doloribus cupiditate eveniet.","",""
"30/11/2022","2:17:00 am","Income","Transfer","",28,"SGD","OCBC","","","Google Pay","","","Ethan","","Aut quaerat nihil eligendi quibusdam aliquid quasi ducimus earum dolores.","",""
"30/11/2022","12:09:55 pm","Income","Investment","",392,"USD","OCBC","","","PayPal","","","FTX","","Ex voluptates in occaecati possimus maxime qui libero porro.","",""
"17/12/2022","11:15:27 pm","Income","Investment","",192,"USD","DBS","","","PayPal","","","FTX","","Ex ab dolores nam consequatur deleniti doloribus quo.","",""
"04/11/2022","7:37:03 pm","Income","Transfer","",38,"SGD","OCBC","","","PayNow","","","Addison","","Voluptate repellendus rerum praesentium autem enim dolore recusandae esse omnis.","",""
"21/11/2022","4:14:52 am","Income","Transfer","",12,"SGD","DBS","","","PayPal","","","Wai Hang","","Magnam maxime rerum.","",""
"08/11/2022","1:31:40 am","Income","Transfer","",24,"SGD","DBS","","","Apple Pay","","","Wai Hang","","Nobis doloremque ut facilis quibusdam illo odit.","",""
"18/11/2022","3:26:04 am","Income","Transfer","",34,"SGD","DBS","","","Cash","","","Paul","","Inventore aut dolorum.","",""
"27/12/2022","8:45:27 am","Income","Transfer","",50,"SGD","OCBC","","","PayPal","","","Ethan","","Quasi aliquid officiis saepe animi incidunt amet minima id.","",""
"02/12/2022","9:14:54 am","Income","Transfer","",42,"SGD","DBS","","","Apple Pay","","","Qin Guan","","Repellendus sed nisi.","",""
"31/12/2022","11:45:06 pm","Income","Investment","",262,"USD","OCBC","","","PayPal","","","FTX","","Culpa aliquam blanditiis eligendi labore maxime beatae quod fugiat culpa.","",""
"23/12/2022","8:12:17 pm","Income","Investment","",166,"USD","DBS","","","PayPal","","","FTX","","Deserunt dolore repudiandae reprehenderit harum aperiam ipsum repellendus.","",""
"10/12/2022","9:10:29 pm","Income","Investment","",136,"USD","OCBC","","","PayPal","","","FTX","","Provident itaque non ipsa.","",""
"23/11/2022","3:54:45 am","Income","Transfer","",30,"SGD","OCBC","","","PayPal","","","Paul","","Qui ipsum placeat commodi quasi atque aliquid.","",""
"01/11/2022","8:00:00 am","Income","Salary","",3200,"SGD","DBS","","123-456-7890","Bank Transfer","","","Nullspace","","Accusantium culpa inventore nesciunt est.","",""
"01/11/2022","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","Netflix","","","Iusto minus labore error autem.","",""
"01/11/2022","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","Spotify","","","Accusantium tempore atque vero aliquam necessitatibus mollitia quas consequatur optio.","",""
"01/11/2022","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","Disney+","","","Nobis officiis molestias temporibus.","",""
"01/11/2022","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","HBO","","","Laboriosam amet quisquam debitis commodi recusandae.","",""
"01/11/2022","8:00:00 am","Expense","Utilities","",10,"SGD","DBS","","","PayNow","Subscription","Singtel","","","Aliquam tempora modi.","",""
"01/11/2022","8:00:00 am","Expense","Utilities","",10,"SGD","DBS","","","PayNow","Subscription","ViewQwest","","","Incidunt pariatur maiores autem illum qui odio.","",""
"01/11/2022","8:00:00 am","Expense","Education","",20,"SGD","DBS","","","PayNow","Subscription","Coursera","","","Dolor repellendus nostrum ratione dignissimos doloribus laborum nisi nobis libero.","",""
"01/11/2022","8:00:00 am","Expense","Education","",20,"SGD","DBS","","","PayNow","Subscription","Skillshare","","","Saepe cum pariatur eveniet sit aspernatur similique.","",""
"01/11/2022","8:00:00 am","Expense","Games","",9.99,"SGD","DBS","","","PayNow","Subscription|Nitro","Discord","","","Recusandae ipsam consequatur et ea animi dolor.","",""
"01/11/2022","8:00:00 am","Expense","Shopping","",14.99,"SGD","DBS","","","PayNow","Subscription|Prime","Amazon Prime","","","Magnam cupiditate facere esse tempora nisi.","",""
"01/12/2022","8:00:00 am","Income","Salary","",3000,"SGD","DBS","","123-456-7890","Bank Transfer","","","Nullspace","","Qui totam quaerat veniam quam ipsum magni animi.","",""
"01/12/2022","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","Netflix","","","Facilis praesentium enim ab adipisci veniam.","",""
"01/12/2022","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","Spotify","","","Labore porro explicabo magnam accusamus fuga.","",""
"01/12/2022","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","Disney+","","","Debitis quis labore vitae est harum possimus.","",""
"01/12/2022","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","HBO","","","Ipsum animi accusantium pariatur cum natus culpa.","",""
"01/12/2022","8:00:00 am","Expense","Utilities","",10,"SGD","DBS","","","PayNow","Subscription","Singtel","","","Harum iusto laudantium reprehenderit velit a.","",""
"01/12/2022","8:00:00 am","Expense","Utilities","",10,"SGD","DBS","","","PayNow","Subscription","ViewQwest","","","Porro nihil iusto animi velit voluptatibus quasi exercitationem alias.","",""
"01/12/2022","8:00:00 am","Expense","Education","",20,"SGD","DBS","","","PayNow","Subscription","Coursera","","","Aspernatur rem illo quia quasi dolorem.","",""
"01/12/2022","8:00:00 am","Expense","Education","",20,"SGD","DBS","","","PayNow","Subscription","Skillshare","","","Quidem temporibus doloremque hic earum tempora explicabo magnam iste.","",""
"01/12/2022","8:00:00 am","Expense","Games","",9.99,"SGD","DBS","","","PayNow","Subscription|Nitro","Discord","","","Facilis omnis recusandae quam nisi.","",""
"01/12/2022","8:00:00 am","Expense","Shopping","",14.99,"SGD","DBS","","","PayNow","Subscription|Prime","Amazon Prime","","","Blanditiis numquam assumenda ex vero sint necessitatibus occaecati.","",""
"01/01/2023","8:00:00 am","Income","Salary","",2898,"SGD","DBS","","123-456-7890","Bank Transfer","","","Nullspace","","Sequi eos beatae.","",""
"01/01/2023","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","Netflix","","","Quasi vitae quae harum.","",""
"01/01/2023","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","Spotify","","","Blanditiis assumenda fugit iusto sunt nemo odit neque consequuntur.","",""
"01/01/2023","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","Disney+","","","Consequatur ducimus quae.","",""
"01/01/2023","8:00:00 am","Expense","Entertainment","",20,"SGD","DBS","","","PayNow","Subscription","HBO","","","Corrupti natus non aperiam architecto dolor vitae ea ipsam amet.","",""
"01/01/2023","8:00:00 am","Expense","Utilities","",10,"SGD","DBS","","","PayNow","Subscription","Singtel","","","Laborum dolore quis.","",""
"01/01/2023","8:00:00 am","Expense","Utilities","",10,"SGD","DBS","","","PayNow","Subscription","ViewQwest","","","Minima eveniet ratione molestias blanditiis doloribus aut tempore tempora quas.","",""
"01/01/2023","8:00:00 am","Expense","Education","",20,"SGD","DBS","","","PayNow","Subscription","Coursera","","","Necessitatibus eum quod rem pariatur quos ad ad animi eius.","",""
"01/01/2023","8:00:00 am","Expense","Education","",20,"SGD","DBS","","","PayNow","Subscription","Skillshare","","","Totam praesentium magni culpa nostrum.","",""
"01/01/2023","8:00:00 am","Expense","Games","",9.99,"SGD","DBS","","","PayNow","Subscription|Nitro","Discord","","","Expedita nostrum molestiae hic deserunt.","",""
"01/01/2023","8:00:00 am","Expense","Shopping","",14.99,"SGD","DBS","","","PayNow","Subscription|Prime","Amazon Prime","","","Totam cum labore.","",""
